Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_Date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,env_broad_scale,env_local_scale,env_medium,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study,isol_growth_condt,STRAIN,num_replicons,ref_biomaterial,host_subject_id,Source_material_ID,Cultivar,Ecotype,isolate
SRR9220035,WGS,274,1187121183,PRJNA544527,SAMN11848100,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",493339086,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-07-04,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990420,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,aa_0143_0081_c1,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,aa_0143_0081_c1,SRP200548,missing,BIOML-A3,missing,missing,,,,,
SRR9220037,WGS,265,694010129,PRJNA544527,SAMN11848424,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",274858471,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990418,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0051_f3,PAIRED,RANDOM,GENOMIC,Enterococcus durans,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0051_f3,SRP200548,missing,BIOML-A12,missing,missing,,,,,
SRR9220038,WGS,261,1080879231,PRJNA544527,SAMN11848421,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",427591110,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990417,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0051_e4,PAIRED,RANDOM,GENOMIC,Enterococcus durans,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0051_e4,SRP200548,missing,BIOML-A9,missing,missing,,,,,
SRR9220041,WGS,260,529811387,PRJNA544527,SAMN11848420,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",210160253,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990414,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0051_e2,PAIRED,RANDOM,GENOMIC,Enterococcus durans,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0051_e2,SRP200548,missing,BIOML-A8,missing,missing,,,,,
SRR9220043,WGS,277,263666797,PRJNA544527,SAMN11848151,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",118667324,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990412,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0050_a6,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0050_a6,SRP200548,missing,BIOML-A54,missing,missing,,,,,
SRR9220046,WGS,261,1382312535,PRJNA544527,SAMN11848417,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",542462377,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990409,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0051_b4,PAIRED,RANDOM,GENOMIC,Enterococcus durans,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0051_b4,SRP200548,missing,BIOML-A5,missing,missing,,,,,
SRR9220048,WGS,279,1079804890,PRJNA544527,SAMN11848415,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",446426281,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990407,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0089_e10,PAIRED,RANDOM,GENOMIC,Enterococcus durans,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0089_e10,SRP200548,missing,BIOML-A3,missing,missing,,,,,
SRR9220052,WGS,271,688597778,PRJNA544527,SAMN11848841,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",276713262,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,realign,fastq,wgmlst_sig","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990403,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0060_f1,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0060_f1,SRP200548,missing,BIOML-A244,missing,missing,,,,,
SRR9220054,WGS,255,954178687,PRJNA544527,SAMN11848835,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",386962471,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,realign,wgmlst_sig,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990401,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0060_d1,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0060_d1,SRP200548,missing,BIOML-A238,missing,missing,,,,,
SRR9220058,WGS,279,1204415633,PRJNA544527,SAMN11848722,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",499113345,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-07,public,"sra,realign,fastq,wgmlst_sig","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990397,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0025_0085_c1,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2019-07-31T00:00:00Z,am_0025_0085_c1,SRP200548,missing,BIOML-A125,missing,missing,,,,,
SRR9220060,WGS,281,222378827,PRJNA544527,SAMN11848720,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",97337428,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-07,public,"wgmlst_sig,fastq,sra,realign","ncbi,gs,s3","ncbi.public,gs.US,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990395,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0025_0078_h9,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2019-07-31T00:00:00Z,am_0025_0078_h9,SRP200548,missing,BIOML-A123,missing,missing,,,,,
SRR9220062,WGS,279,243755753,PRJNA544527,SAMN11848718,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",107679848,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-07,public,"realign,fastq,sra,wgmlst_sig","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990393,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0025_0078_h7,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2019-07-31T00:00:00Z,am_0025_0078_h7,SRP200548,missing,BIOML-A121,missing,missing,,,,,
SRR9220066,WGS,281,948416479,PRJNA544527,SAMN11848201,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",400163046,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990389,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0081_e6,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0081_e6,SRP200548,missing,BIOML-A104,missing,missing,,,,,
SRR9220068,WGS,280,773227343,PRJNA544527,SAMN11848199,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",330688931,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990387,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0081_e3,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0081_e3,SRP200548,missing,BIOML-A102,missing,missing,,,,,
SRR9220070,WGS,280,1726065235,PRJNA544527,SAMN11848197,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",710181899,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990385,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0081_d6,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0081_d6,SRP200548,missing,BIOML-A100,missing,missing,,,,,
SRR9220072,WGS,279,1227319391,PRJNA544527,SAMN11848195,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",507170475,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990383,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0081_d4,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0081_d4,SRP200548,missing,BIOML-A98,missing,missing,,,,,
SRR9220076,WGS,255,258232114,PRJNA544527,SAMN11848924,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",125233331,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-12-09,public,"fastq,sra,wgmlst_sig,realign","ncbi,s3,gs","ncbi.public,gs.US,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990379,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,av_0103_0073_f11,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2019-07-31T00:00:00Z,av_0103_0073_f11,SRP200548,missing,BIOML-A327,missing,missing,,,,,
SRR9220078,WGS,280,443514654,PRJNA544527,SAMN11848121,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",179862288,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990377,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0051_f1,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0051_f1,SRP200548,missing,BIOML-A24,missing,missing,,,,,
SRR9220081,WGS,279,888122805,PRJNA544527,SAMN11848120,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",361266655,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990374,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0051_e7,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0051_e7,SRP200548,missing,BIOML-A23,missing,missing,,,,,
SRR9220084,WGS,270,908725611,PRJNA544527,SAMN11848115,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",362231716,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990371,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0051_c3,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0051_c3,SRP200548,missing,BIOML-A18,missing,missing,,,,,
SRR9220085,WGS,270,832904692,PRJNA544527,SAMN11848116,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",333122550,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-01-11,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990370,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0171_0051_c6,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,am_0171_0051_c6,SRP200548,missing,BIOML-A19,missing,missing,,,,,
SRR9220088,WGS,276,982229644,PRJNA544527,SAMN11848107,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",417012755,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-07-04,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990367,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,aa_0143_0089_g3,PAIRED,RANDOM,GENOMIC,Bifidobacterium pseudocatenulatum,ILLUMINA,2019-07-31T00:00:00Z,aa_0143_0089_g3,SRP200548,missing,BIOML-A10,missing,missing,,,,,
SRR9220090,WGS,279,824464262,PRJNA544527,SAMN11848356,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",348809639,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-02-19,public,"sra,fastq","s3,ncbi,gs","gs.US,s3.us-east-1,ncbi.public",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990365,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,cx_0004_0077_f2,PAIRED,RANDOM,GENOMIC,[Clostridium] innocuum,ILLUMINA,2019-07-31T00:00:00Z,cx_0004_0077_f2,SRP200548,missing,BIOML-A9,missing,missing,,,,,
SRR9220091,WGS,282,379931940,PRJNA544527,SAMN11848357,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",162206604,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-02-19,public,"sra,fastq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990364,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,cx_0004_0077_g1,PAIRED,RANDOM,GENOMIC,[Clostridium] innocuum,ILLUMINA,2019-07-31T00:00:00Z,cx_0004_0077_g1,SRP200548,missing,BIOML-A10,missing,missing,,,,,
SRR9220093,WGS,282,165402181,PRJNA544527,SAMN11848359,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",70911452,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-02-19,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990362,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,cx_0004_0077_h1,PAIRED,RANDOM,GENOMIC,[Clostridium] innocuum,ILLUMINA,2019-07-31T00:00:00Z,cx_0004_0077_h1,SRP200548,missing,BIOML-A12,missing,missing,,,,,
SRR9220094,WGS,282,166868263,PRJNA544527,SAMN11848360,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",71468499,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2016-02-19,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990361,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,cx_0004_0077_h2,PAIRED,RANDOM,GENOMIC,[Clostridium] innocuum,ILLUMINA,2019-07-31T00:00:00Z,cx_0004_0077_h2,SRP200548,missing,BIOML-A13,missing,missing,,,,,
SRR9220096,WGS,274,880941375,PRJNA544527,SAMN11848362,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",383248855,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2014-07-04,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990359,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,aa_0143_0087_d7,PAIRED,RANDOM,GENOMIC,Collinsella aerofaciens,ILLUMINA,2019-07-31T00:00:00Z,aa_0143_0087_d7,SRP200548,missing,BIOML-A1,missing,missing,,,,,
SRR9220097,WGS,272,783691484,PRJNA544527,SAMN11848704,"MIGS.ba,MIGS/MIMS/MIMARKS.human-gut",336765414,MASSACHUSETTS INSTITUTE OF TECHNOLOGY,2015-01-07,public,"wgmlst_sig,sra,realign,fastq","s3,gs,ncbi","ncbi.public,s3.us-east-1,gs.US",bodily fluid material biome [ENVO:02000019],excreta material [ENVO:02000022],fecal material [ENVO:00002003],SRX5990358,USA,North America,USA:Boston,Homo sapiens,NextSeq 500,42.36 N 71.06 W,am_0025_0078_e12,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2019-07-31T00:00:00Z,am_0025_0078_e12,SRP200548,missing,BIOML-A107,missing,missing,,,,,
